name,genre,ratingValue,studios,episodes
Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",9.22,['Bones'],64
Mononoke Hime,"['Action', 'Adventure', 'Fantasy']",8.77,['Studio Ghibli'],1
Haikyuu!!: To the Top,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",8.81,['Production I.G'],13
Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",8.81,['Sunrise'],26
Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",8.82,['Kinema Citrus'],13
Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",8.82,['Shaft'],1
Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",8.82,['Production I.G'],25
Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",8.83,['A-1 Pictures'],22
Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",8.88,['Bones'],13
Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",8.88,['ufotable'],26
Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",8.89,['Shaft'],7
Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",8.9,['Studio Ghibli'],1
Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",8.91,['Bandai Namco Pictures'],12
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.92,['Sunrise'],1
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",8.92,['Sunrise'],25
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",8.93,['Production I.G'],10
Suzumiya Haruhi no Shoushitsu,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",8.68,['Kyoto Animation'],1
Hajime no Ippo: New Challenger,"['Comedy', 'Sports', 'Drama', 'Shounen']",8.68,['Madhouse'],26
Natsume Yuujinchou Shi,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",8.69,"[""Brain's Base""]",13
Tengen Toppa Gurren Lagann,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",8.7,['Gainax'],27
Ookami Kodomo no Ame to Yuki,"['Fantasy', 'Slice of Life']",8.7,['Studio Chizu'],1
Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",8.7,['Madhouse'],74
Mushishi,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",8.71,['Artland'],26
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"['Action', 'Adventure', 'Shounen']",8.71,['David Production'],39
Howl no Ugoku Shiro,"['Adventure', 'Drama', 'Fantasy', 'Romance']",8.71,['Studio Ghibli'],1
Great Teacher Onizuka,"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life']",8.71,['Studio Pierrot'],43
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['Comedy', 'Romance', 'School']",8.72,['CloverWorks'],1
Mushishi Zoku Shou,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",8.72,['Artland'],10
Gintama.: Shirogane no Tamashii-hen,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.74,['Bandai Namco Pictures'],12
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",8.75,['Studio Deen'],4
Code Geass: Hangyaku no Lelouch,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",8.75,['Sunrise'],25
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"['Drama', 'Historical', 'Josei']",8.76,['Studio Deen'],12
No Game No Life: Zero,"['Game', 'Supernatural', 'Drama', 'Romance', 'Fantasy']",8.49,['Madhouse'],1
Samurai Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",8.5,['Manglobe'],26
Nichijou,"['Slice of Life', 'Comedy', 'School', 'Shounen']",8.5,['Kyoto Animation'],26
Gintama Movie 1: Shinyaku Benizakura-hen,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.5,['Sunrise'],1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Slice of Life', 'Supernatural', 'Drama']",8.5,['A-1 Pictures'],11
Neon Genesis Evangelion: The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",8.51,"['Gainax', 'Production I.G']",1
Mob Psycho 100,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",8.51,['Bones'],12
Gintama.: Porori-hen,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.51,['Bandai Namco Pictures'],13
Aria The Origination,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']",8.51,['Hal Film Maker'],13
Mo Dao Zu Shi,"['Action', 'Adventure', 'Comedy', 'Historical', 'Mystery', 'Supernatural']",8.52,['G.CMay Animation & Film'],15
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"['Action', 'Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",8.52,['Production I.G'],26
Zoku Owarimonogatari,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",8.53,['Shaft'],1
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['Sci-Fi', 'Drama']",8.53,['White Fox'],1
Steins;Gate 0,"['Sci-Fi', 'Thriller']",8.53,['White Fox'],23
Slam Dunk,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",8.53,['Toei Animation'],101
One Piece,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",8.53,['Toei Animation'],Unknown
Cowboy Bebop: Tengoku no Tobira,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",8.4,['Bones'],1
Bakemono no Ko,"['Adventure', 'Supernatural']",8.4,['Studio Chizu'],1
Shinsekai yori,"['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama']",8.41,['A-1 Pictures'],25
Shingeki no Kyojin Season 2,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",8.41,['Wit Studio'],12
Psycho-Pass,"['Action', 'Sci-Fi', 'Police', 'Psychological']",8.41,['Production I.G'],22
Mononoke,"['Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen']",8.41,['Toei Animation'],12
Kamisama Hajimemashita: Kako-hen,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",8.41,['TMS Entertainment'],4
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']",8.41,['A-1 Pictures'],12
Tonari no Totoro,"['Adventure', 'Comedy', 'Supernatural']",8.42,['Studio Ghibli'],1
Promare,"['Action', 'Mecha', 'Sci-Fi', 'Super Power']",8.42,['Trigger'],1
Mahou Shoujo Madoka★Magica,"['Psychological', 'Drama', 'Magic', 'Thriller']",8.42,['Shaft'],12
Kizumonogatari I: Tekketsu-hen,"['Mystery', 'Supernatural', 'Vampire']",8.42,['Shaft'],1
Cross Game,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",8.42,['SynergySP'],50
Beastars,"['Slice of Life', 'Psychological', 'Drama', 'Shounen']",8.42,['Orange'],12
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['Comedy', 'Romance', 'School', 'Supernatural']",8.43,['CloverWorks'],13
Pingu in the City,"['Comedy', 'Kids', 'Slice of Life']",8.43,['DandeLion Animation Studio'],26
Shokugeki no Souma: San no Sara,"['Ecchi', 'School', 'Shounen']",8.34,['J.C.Staff'],12
Made in Abyss Movie 2: Hourou Suru Tasogare,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",8.34,['Kinema Citrus'],1
Kuroshitsuji Movie: Book of the Atlantic,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",8.34,['A-1 Pictures'],1
Kono Subarashii Sekai ni Shukufuku wo! 2,"['Adventure', 'Comedy', 'Parody', 'Supernatural', 'Magic', 'Fantasy']",8.34,['Studio Deen'],10
Hunter x Hunter: Yorkshin City Kanketsu-hen,"['Action', 'Adventure', 'Super Power', 'Shounen']",8.34,['Nippon Animation'],8
